date,holiday,rainfall_mm,temperature_c,onsen_visitors_count,wind_speed_mps,y
2024-12-08,holiday,3.4,30.8,0.348,6.1,0.579
2024-12-09,holiday,4.6,29.0,0.188,4.2,0.474
2024-12-10,holiday,10.8,31.7,0.12,2.4,0.468
2024-12-11,holiday,4.7,29.5,0.098,4.9,0.49
2024-12-12,holiday,4.1,29.8,0.09,5.8,0.542
2024-12-13,holiday,5.3,30.2,0.236,6.5,0.495
2024-12-14,holiday,0.8,29.7,,6.9,0.562
2024-12-15,holiday,2.9,30.8,,5.9,0.529
2024-12-16,holiday,2.9,29.5,0.226,3.6,0.547
2024-12-17,holiday,1.8,30.8,0.215,5.7,0.46
2024-12-18,holiday,1.8,29.7,0.089,4.2,0.548
2024-12-19,holiday,5.2,30.0,0.128,5.4,0.495
2024-12-20,holiday,2.9,29.9,0.196,7.0,0.538
2024-12-21,holiday,2.9,30.9,0.379,6.7,0.534
2024-12-22,holiday,0.7,30.3,0.416,5.4,0.542
2024-12-23,holiday,,29.3,,4.1,0.514
2024-12-24,holiday,3.1,29.9,0.155,4.8,0.499
2024-12-25,holiday,2.8,29.6,0.208,3.7,0.464
2024-12-26,holiday,5.2,29.5,0.244,3.9,0.514
2024-12-27,holiday,0.9,29.1,0.205,6.7,0.494
2024-12-28,holiday,4.8,30.1,0.319,4.9,0.54
2024-12-29,holiday,4.2,28.9,0.423,5.3,0.505
2024-12-30,holiday,4.7,29.5,0.115,6.8,0.467
2024-12-31,holiday,4.6,28.8,0.153,4.1,0.413
2025-01-01,holiday,4.9,30.6,0.194,2.8,0.535
2025-01-02,holiday,1.7,28.7,0.201,6.3,0.771
2025-01-03,holiday,2.0,30.5,0.169,3.9,0.547
2025-01-04,holiday,3.3,29.2,0.346,5.0,0.586
2025-01-05,holiday,1.0,28.3,0.377,3.7,0.537
2025-01-06,holiday,1.8,29.9,0.184,5.2,0.519
2025-01-07,holiday,1.2,30.0,0.184,6.5,0.403
2025-01-08,holiday,5.1,29.3,0.248,6.0,0.473
2025-01-09,holiday,1.1,30.4,0.18,5.0,0.519
2025-01-10,holiday,5.0,29.1,0.136,4.8,0.48
2025-01-11,holiday,5.4,27.6,0.328,5.3,0.574
2025-01-12,holiday,3.1,29.7,0.299,6.6,0.584
2025-01-13,holiday,3.2,29.6,0.118,5.5,0.46
2025-01-14,holiday,2.1,28.8,0.144,3.8,0.75
2025-01-15,holiday,3.2,28.6,0.067,6.3,0.435
2025-01-16,holiday,5.2,28.7,0.105,5.8,0.533
2025-01-17,holiday,2.4,26.5,0.124,5.9,0.432
2025-01-18,holiday,2.2,26.6,0.393,4.1,0.505
2025-01-19,holiday,3.8,28.5,0.397,6.3,0.594
2025-01-20,holiday,6.8,28.7,0.061,4.3,0.702
2025-01-21,holiday,1.0,25.7,0.205,6.3,0.49
2025-01-22,holiday,1.7,27.0,0.228,6.5,0.474
2025-01-23,holiday,8.9,28.2,,4.3,0.488
2025-01-24,holiday,5.3,27.2,0.169,7.3,0.5
2025-01-25,holiday,4.6,27.3,0.26,5.3,0.525
2025-01-26,holiday,,27.3,0.348,4.3,0.825
2025-01-27,holiday,3.9,27.7,0.128,3.5,0.68
2025-01-28,holiday,5.9,26.9,0.208,6.1,0.442
2025-01-29,holiday,4.3,27.2,0.108,4.6,0.479
2025-01-30,holiday,0.8,26.8,0.203,6.0,0.486
2025-01-31,holiday,2.2,25.7,0.198,6.8,0.51
2025-02-01,holiday,1.0,27.3,0.256,7.2,0.566
2025-02-02,holiday,0.5,27.9,0.394,4.8,0.526
2025-02-03,weekday,6.4,26.6,0.036,3.5,0.09
2025-02-04,weekday,3.7,26.6,0.0,3.1,0.07
2025-02-05,weekday,1.2,25.9,0.0,5.4,0.159
2025-02-06,weekday,4.9,25.3,0.04,5.3,0.071
2025-02-07,weekday,1.1,25.2,0.0,5.5,0.095
2025-02-08,holiday,1.0,24.7,0.296,5.5,0.839
2025-02-09,holiday,2.8,27.0,0.363,3.5,0.595
2025-02-10,weekday,2.2,25.5,0.002,3.7,0.112
2025-02-11,weekday,5.5,25.5,0.0,4.9,0.025
2025-02-12,weekday,6.7,24.3,0.052,6.5,0.064
2025-02-13,weekday,0.8,23.8,0.063,7.0,0.071
2025-02-14,weekday,1.1,22.6,0.0,7.6,0.334
2025-02-15,holiday,2.2,23.5,0.295,4.9,0.484
2025-02-16,holiday,3.1,24.8,0.317,5.2,0.539
2025-02-17,weekday,0.8,25.1,0.009,3.6,0.082
2025-02-18,weekday,6.4,25.0,0.138,5.4,0.042
2025-02-19,weekday,1.3,24.1,0.0,4.5,0.043
2025-02-20,weekday,2.9,22.9,0.028,4.5,0.081
2025-02-21,weekday,0.3,23.8,0.012,4.5,0.11
2025-02-22,holiday,1.1,23.8,0.317,6.5,0.525
2025-02-23,holiday,6.5,24.2,0.428,5.3,0.808
2025-02-24,weekday,0.8,21.3,0.007,1.5,0.11
2025-02-25,weekday,5.2,22.4,0.013,5.1,0.064
2025-02-26,weekday,4.5,21.4,0.0,5.6,0.035
2025-02-27,weekday,4.2,21.5,0.0,7.1,0.141
2025-02-28,weekday,,22.4,0.1,7.1,0.051
2025-03-01,holiday,9.3,22.6,0.34,4.7,0.511
2025-03-02,holiday,9.9,21.5,0.369,5.5,0.518
2025-03-03,weekday,1.7,23.1,0.0,5.1,0.05
2025-03-04,weekday,6.1,20.4,0.076,6.4,0.019
2025-03-05,weekday,4.3,21.6,0.0,5.6,0.081
2025-03-06,weekday,1.0,22.6,0.0,5.0,0.017
2025-03-07,weekday,2.2,21.3,0.0,3.7,0.043
2025-03-08,holiday,3.1,22.5,0.259,3.7,0.5
2025-03-09,holiday,7.1,19.8,0.333,5.1,0.484
2025-03-10,weekday,1.7,20.3,0.0,3.4,0.037
2025-03-11,weekday,6.3,21.2,0.071,4.8,0.035
2025-03-12,weekday,3.7,21.0,0.0,5.4,0.345
2025-03-13,weekday,5.6,21.5,0.0,6.3,0.069
2025-03-14,weekday,5.0,20.1,0.0,4.8,0.067
2025-03-15,holiday,5.8,20.6,0.321,7.8,0.523
2025-03-16,holiday,2.5,20.3,0.301,2.1,0.497
2025-03-17,weekday,1.3,19.7,0.048,4.8,0.007
2025-03-18,weekday,1.2,18.3,0.029,6.8,0.039
2025-03-19,weekday,,18.7,0.053,7.7,0.255
2025-03-20,weekday,7.4,19.2,0.0,5.9,0.02
2025-03-21,weekday,0.9,18.5,0.079,8.0,0.061
2025-03-22,holiday,7.9,19.4,0.425,4.9,0.53
2025-03-23,holiday,4.7,17.7,0.388,6.9,0.498
2025-03-24,weekday,3.6,18.4,0.035,7.0,0.048
2025-03-25,weekday,1.4,18.0,0.02,5.3,0.032
2025-03-26,weekday,7.0,17.0,0.059,4.6,0.026
2025-03-27,weekday,4.9,18.9,0.0,6.4,0.03
2025-03-28,weekday,3.3,16.8,0.0,7.2,0.007
2025-03-29,holiday,2.3,16.2,0.415,5.5,0.536
2025-03-30,holiday,7.5,17.8,0.377,3.3,0.457
2025-03-31,weekday,1.4,17.5,0.029,5.1,0.032
2025-04-01,,1.8,16.7,0.0,6.3,0.073
2025-04-02,weekday,3.3,18.4,0.0,4.8,0.03
2025-04-03,weekday,2.2,16.1,0.063,4.3,0.049
2025-04-04,weekday,5.8,15.6,0.077,8.3,0.006
2025-04-05,holiday,4.6,17.2,,5.3,0.499
2025-04-06,holiday,2.0,16.6,0.414,2.9,0.522
2025-04-07,weekday,4.0,16.8,0.0,5.1,0.056
2025-04-08,weekday,2.8,16.9,0.045,4.0,0.036
2025-04-09,weekday,2.9,15.6,0.095,5.3,0.05
2025-04-10,weekday,4.9,13.8,0.0,4.9,0.299
2025-04-11,weekday,3.0,15.4,0.053,6.2,0.042
2025-04-12,holiday,1.0,15.6,,6.4,0.463
2025-04-13,holiday,1.0,15.6,0.395,6.7,0.756
2025-04-14,weekday,9.8,14.6,0.118,6.6,0.016
2025-04-15,weekday,6.6,13.7,0.074,4.3,0.03
2025-04-16,weekday,3.6,15.4,0.033,5.7,0.0
2025-04-17,weekday,3.8,14.9,0.041,6.0,0.086
2025-04-18,weekday,2.5,15.0,,6.5,0.294
2025-04-19,holiday,4.5,14.4,0.321,4.8,0.524
2025-04-20,holiday,2.0,12.0,0.389,6.2,0.46
2025-04-21,weekday,1.5,13.1,0.044,3.8,0.014
2025-04-22,weekday,4.3,13.5,0.11,6.6,0.059
2025-04-23,weekday,6.2,13.7,0.015,5.8,0.056
2025-04-24,weekday,3.1,15.0,0.009,6.0,0.058
2025-04-25,weekday,3.8,13.0,0.069,6.2,0.0
2025-04-26,holiday,0.7,13.0,0.362,4.6,0.517
2025-04-27,holiday,3.8,11.5,0.458,3.6,0.466
2025-04-28,weekday,5.5,13.4,,5.9,0.042
2025-04-29,weekday,3.9,13.9,0.04,5.7,0.01
2025-04-30,weekday,1.5,13.2,0.054,7.6,0.0
2025-05-01,,1.8,12.0,0.214,7.1,0.396
2025-05-02,holiday,2.1,12.8,0.245,6.6,0.406
2025-05-03,holiday,6.9,11.6,0.449,4.1,0.441
2025-05-04,holiday,0.8,11.2,0.413,5.4,0.455
2025-05-05,holiday,0.2,13.0,0.232,5.7,0.465
2025-05-06,holiday,6.5,12.6,,4.5,0.422
2025-05-07,holiday,1.3,11.3,0.209,2.8,0.381
2025-05-08,holiday,0.9,11.8,0.249,3.7,0.46
2025-05-09,holiday,6.6,11.1,0.227,7.8,0.431
2025-05-10,holiday,1.2,13.2,0.365,2.8,0.45
2025-05-11,holiday,4.0,11.3,0.371,5.2,0.504
2025-05-12,holiday,3.0,11.0,0.201,5.5,0.704
2025-05-13,holiday,1.9,11.9,0.242,5.7,0.428
2025-05-14,holiday,3.1,11.3,0.232,4.5,0.466
2025-05-15,holiday,0.7,11.4,0.272,5.4,0.383
2025-05-16,holiday,3.9,11.2,0.257,6.9,0.425
2025-05-17,holiday,,10.8,0.434,2.5,0.485
2025-05-18,holiday,5.8,10.2,0.385,3.8,0.501
2025-05-19,holiday,2.9,10.1,0.304,4.8,0.46
2025-05-20,holiday,2.4,11.2,0.195,5.2,0.398
2025-05-21,holiday,4.6,12.0,0.191,4.0,0.431
2025-05-22,holiday,3.0,10.6,0.323,3.5,0.364
2025-05-23,holiday,7.6,11.4,0.279,3.8,0.366
2025-05-24,holiday,1.7,12.2,0.336,5.4,0.472
2025-05-25,holiday,4.2,9.6,0.437,4.1,0.44
2025-05-26,holiday,2.4,10.0,0.2,4.8,0.411
2025-05-27,holiday,0.4,11.8,0.195,7.0,0.432
2025-05-28,holiday,1.8,10.8,0.152,6.8,0.47
2025-05-29,holiday,8.9,10.6,0.211,3.8,0.333
2025-05-30,holiday,2.3,10.5,0.244,4.7,0.407
2025-05-31,holiday,3.7,11.2,0.367,5.6,0.575
2025-06-01,holiday,22.3,9.3,0.397,6.1,0.406
2025-06-02,weekday,20.5,10.4,0.021,6.5,0.0
2025-06-03,weekday,22.5,8.7,0.095,5.0,0.0
2025-06-04,weekday,19.7,10.7,0.012,5.7,0.001
2025-06-05,weekday,24.3,10.9,0.03,5.1,0.221
2025-06-06,weekday,23.2,9.9,0.119,4.7,0.0
2025-06-07,holiday,19.0,8.4,0.428,5.2,0.422
2025-06-08,holiday,22.9,9.8,0.366,6.2,0.411
2025-06-09,weekday,18.9,9.3,0.099,5.0,0.0
2025-06-10,weekday,19.4,10.6,0.019,3.7,0.0
2025-06-11,weekday,24.9,9.5,0.091,5.2,0.0
2025-06-12,weekday,20.7,9.9,0.128,6.1,0.0
2025-06-13,weekday,21.4,11.4,0.011,6.7,0.0
2025-06-14,holiday,21.5,9.1,0.439,4.4,0.472
2025-06-15,holiday,21.7,10.1,0.386,3.6,0.375
2025-06-16,weekday,20.5,9.4,0.064,4.2,0.0
2025-06-17,weekday,27.0,10.1,0.061,6.5,0.0
2025-06-18,weekday,20.5,10.3,0.106,5.0,0.0
2025-06-19,weekday,22.3,9.4,0.079,5.1,0.0
2025-06-20,weekday,22.7,9.8,0.003,5.2,0.0
2025-06-21,holiday,22.8,10.6,0.321,5.6,0.415
2025-06-22,holiday,23.8,10.7,0.412,3.8,0.396
2025-06-23,weekday,21.1,9.5,0.057,6.1,0.009
2025-06-24,weekday,19.7,9.3,0.126,5.2,0.0
2025-06-25,weekday,,10.8,0.052,7.0,0.0
2025-06-26,weekday,24.3,10.2,0.064,5.3,0.0
2025-06-27,weekday,22.3,9.9,0.057,5.5,0.0
2025-06-28,holiday,23.8,10.4,0.392,2.8,0.468
2025-06-29,holiday,20.6,9.7,0.46,4.8,0.398
2025-06-30,weekday,22.1,11.1,0.04,5.7,0.0
2025-07-01,weekday,20.4,11.5,0.088,4.8,0.0
2025-07-02,weekday,22.7,11.6,0.081,6.4,0.024
2025-07-03,weekday,21.8,10.8,0.068,5.9,0.205
2025-07-04,weekday,22.0,10.9,0.094,4.5,0.01
2025-07-05,holiday,26.1,12.5,0.447,4.7,0.463
2025-07-06,holiday,21.0,11.1,0.454,3.3,0.411
2025-07-07,weekday,27.6,12.8,0.046,7.1,0.0
2025-07-08,weekday,22.6,10.6,0.11,4.2,0.0
2025-07-09,weekday,19.7,10.7,0.0,5.1,0.0
2025-07-10,weekday,25.0,11.3,0.032,4.1,0.0
2025-07-11,weekday,,11.5,0.06,6.5,0.027
2025-07-12,holiday,1.1,10.7,0.385,7.0,0.492
2025-07-13,holiday,5.5,12.3,0.403,4.3,0.454
2025-07-14,weekday,1.4,11.6,0.0,6.4,0.004
2025-07-15,weekday,,10.1,0.025,4.1,0.034
2025-07-16,weekday,2.2,10.5,0.075,3.9,0.033
2025-07-17,weekday,0.4,11.5,0.055,4.2,0.067
2025-07-18,weekday,2.4,11.1,0.044,3.6,0.0
2025-07-19,holiday,6.4,11.4,0.435,3.6,0.538
2025-07-20,holiday,4.4,13.9,0.38,4.1,0.495
2025-07-21,weekday,7.2,13.5,0.061,6.3,0.027
2025-07-22,weekday,2.4,12.4,0.09,5.0,0.0
2025-07-23,weekday,2.4,12.1,0.064,4.5,0.038
2025-07-24,weekday,3.0,13.4,0.0,6.0,0.085
2025-07-25,weekday,4.1,11.7,0.016,5.6,0.011
2025-07-26,holiday,4.6,11.8,0.443,4.6,0.472
2025-07-27,holiday,4.4,13.8,0.333,5.2,0.51
2025-07-28,weekday,1.9,13.2,0.097,5.9,0.057
2025-07-29,weekday,2.9,13.1,0.106,5.3,0.308
2025-07-30,weekday,3.1,13.3,0.052,4.9,0.009
2025-07-31,,1.7,11.6,0.107,3.2,0.0
2025-08-01,holiday,22.3,12.8,0.269,15.0,0.355
2025-08-02,holiday,23.3,14.4,0.392,14.1,0.555
2025-08-03,holiday,25.0,13.9,0.383,10.3,0.433
2025-08-04,holiday,22.7,13.6,0.207,10.7,0.386
2025-08-05,holiday,21.6,13.2,,11.8,0.471
2025-08-06,holiday,23.2,15.3,,7.6,0.367
2025-08-07,holiday,21.2,14.3,0.194,9.8,0.389
2025-08-08,holiday,22.4,12.5,0.248,12.8,0.385
2025-08-09,holiday,22.7,14.4,,12.6,0.427
2025-08-10,holiday,23.6,14.3,0.502,13.3,0.385
2025-08-11,holiday,,15.3,0.282,10.9,0.334
2025-08-12,holiday,20.6,14.6,0.244,12.7,0.354
2025-08-13,holiday,19.9,16.8,0.315,12.0,0.425
2025-08-14,holiday,21.0,15.8,0.199,11.0,0.389
2025-08-15,holiday,22.1,16.0,0.219,14.3,0.379
2025-08-16,holiday,24.1,15.7,0.419,10.2,0.448
2025-08-17,holiday,20.4,15.8,0.381,10.8,0.412
2025-08-18,holiday,24.9,15.1,0.176,13.6,0.336
2025-08-19,holiday,19.3,14.6,0.17,11.8,0.405
2025-08-20,holiday,,17.5,0.21,12.8,0.404
2025-08-21,holiday,24.3,16.5,0.106,13.2,0.387
2025-08-22,holiday,26.6,16.4,0.244,11.0,0.411
2025-08-23,holiday,21.7,16.3,0.429,12.9,0.452
2025-08-24,holiday,24.9,17.1,0.435,12.1,0.509
2025-08-25,holiday,23.8,17.0,,10.7,0.363
2025-08-26,holiday,23.0,17.8,,11.9,0.404
2025-08-27,holiday,,17.6,0.14,12.3,0.35
2025-08-28,holiday,23.8,16.6,0.234,13.5,0.357
2025-08-29,holiday,22.7,16.5,0.213,12.1,0.381
2025-08-30,holiday,22.1,17.5,,12.8,0.521
2025-08-31,holiday,20.8,18.0,0.388,12.6,0.444
2025-09-01,weekday,25.2,18.0,0.044,11.5,0.041
2025-09-02,,20.9,19.5,0.0,12.0,0.0
2025-09-03,weekday,23.2,18.2,0.0,11.0,0.0
2025-09-04,weekday,23.1,18.2,0.0,12.7,0.0
2025-09-05,weekday,22.7,19.9,0.0,11.5,0.0
2025-09-06,holiday,25.8,17.9,0.473,12.5,0.443
2025-09-07,holiday,21.0,19.1,0.4,14.7,0.528
2025-09-08,weekday,23.2,19.2,0.026,11.9,0.0
2025-09-09,weekday,24.5,18.9,0.0,10.7,0.0
2025-09-10,weekday,22.5,20.9,0.034,11.7,0.0
2025-09-11,weekday,20.4,18.9,0.099,13.1,0.256
